subject;tx_engj;enviados;abertura;cliques;optout;p_abertura;p_cliques;p_optout;ciclo;ano;ciclo_ano;promo_categoria;tipo_acao;tipo_desconto;id_campanha
Estamos com saudades e trouxemos 50% de lucro pra você 😍;1,062090863;70156;5276;771;29;0,075203831;0,146133434;0,005496588;5;2021;202105;Perfumaria;Ações Exclusivas;+35% Lucro Total;202105_07_CRM_CESSADO_I7_I15_EGEO_ADIMPLENTE_LE35
Estamos com saudades e trouxemos lucro pra você 😍;1,060489545;44379;2231;190;5;0,050271525;0,085163604;0,002241147;5;2021;202105;Perfumaria;Ações Exclusivas;35% Lucro Total;202105_07_CRM_CESSADO_I7_I9_EGEO_INADIMPLENTE_LE20
Estamos com saudades e trouxemos 50% de lucro pra você 😍;1,086607294;78173;5050;575;14;0,06460031;0,113861386;0,002772277;5;2021;202105;Perfumaria;Ações Exclusivas;+35% Lucro Total;202105_08_CRM_INATIVO_I4_I6_EGEO_ADIMPLENTE_LE35
Estamos com saudades e trouxemos lucro pra você 😍;0,964311747;66857;3493;206;16;0,052245838;0,058975093;0,00458059;5;2021;202105;Perfumaria;Ações Exclusivas;35% Lucro Total;202105_08_CRM_INATIVO_I4_I6_EGEO_INADIMPLENTE_LE20
O amor é simples? Vem conhecer o novo Floratta!;1,041560716;64758;4511;91;4;0,069659347;0,020172911;0,000886721;5;2021;202105;Perfumaria;Ações Exclusivas;Brinde;202105_09_CRM_AMOSTRAGEM_FLORATTA_SIMPLELOVE_COMP
Conheça Nativa SPA Jasmim Sambac!;1,008373446;172676;11292;203;12;0,065394149;0,017977329;0,001062699;5;2021;202105;Cuidados;Ações Exclusivas;Brinde;202105_10_CRM_AMOSTRAGEM_NSPA_JASMIM_COMP
Conheça Nativa SPA Jasmim Sambac!;0,964904828;40080;2467;56;5;0,061551896;0,022699635;0,002026753;5;2021;202105;Cuidados;Ações Exclusivas;Brinde;202105_10_CRM_AMOSTRAGEM_NSPA_JASMIM_NCOMP
Conheça Nativa SPA Jasmim Sambac!;0,976005042;112141;5919;172;12;0,052781766;0,029058963;0,002027369;5;2021;202105;Cuidados;Foco/SubFoco;Desc Consumidor;202105_14_COM_LCT_CUID_NSPA_JASM_ALAV_CMP20_NCMP21
Conheça Nativa SPA Jasmim Sambac!;1,066150348;268768;24508;677;27;0,091186451;0,027623633;0,001101681;5;2021;202105;Cuidados;Foco/SubFoco;Desc Consumidor;202105_14_COM_LCT_CUID_NSPA_JASM_FRAG_SAMBC_ENGJ90
Conheça Nativa SPA Jasmim Sambac!;1,020606103;138790;9785;525;29;0,070502198;0,053653551;0,00296372;5;2021;202105;Cuidados;Foco/SubFoco;Desc Consumidor;202105_14_COM_LCT_CUID_NSPA_JASM_PROP_BAIX_NSPA
O amor é simples? Vem conhecer o novo Floratta!;1,011861626;304180;17737;498;25;0,058310869;0,028076901;0,001409483;5;2021;202105;Perfumaria;Foco/SubFoco;Desc Consumidor;202105_15_COM_LCT_PERF_FLORAT_SIMPL_FRAGR_FLORAL
O amor é simples? Vem conhecer o novo Floratta!;1,008344097;137791;8287;312;17;0,060141809;0,03764933;0,002051406;5;2021;202105;Perfumaria;Foco/SubFoco;Desc Consumidor;202105_15_COM_LCT_PERF_FLORAT_SIMPL_PROP_BAIX_INOV
O amor é simples? Vem conhecer o novo Floratta!;1,047718769;33311;1888;87;3;0,056677974;0,046080508;0,001588983;5;2021;202105;Perfumaria;Foco/SubFoco;Desc Consumidor;202105_15_COM_LCT_PERF_FLORAT_SIMPL_TOP_COMP_FLOR
Já garantiu os kits de Dia das Mães do Boti? 🧡🎁;1,090154477;106716;8207;517;14;0,076905056;0,062995004;0,001705861;5;2021;202105;Gifts;Produtividade;30% Lucro Total;202105_16_COM_GIFTS_ANTECP_MAES_ALAVANC_GIFTS
Já garantiu os kits de Dia das Mães do Boti? 🧡🎁;1,070317967;152913;9171;579;15;0,05997528;0,063133791;0,00163559;5;2021;202105;Gifts;Produtividade;30% Lucro Total;202105_16_COM_GIFTS_ANTECP_MAES_COMP_GIFTS_C05
Já garantiu os kits de Dia das Mães do Boti? 🧡🎁;1,103184567;52786;4300;377;10;0,081460993;0,087674419;0,002325581;5;2021;202105;Gifts;Produtividade;30% Lucro Total;202105_16_COM_GIFTS_ANTECP_MAES_TOP1_2_GIFTS
Que cheirinho maravilhoso! Sabe o que é?;1,192298148;236784;25980;1772;18;0,109720251;0,068206313;0,000692841;5;2021;202105;Perfumaria;Lucro Extra;Desc Consumidor;202105_17_COM_PERF_ALAVANC_PERF_ENGJ30_PRD_POT_VIP
Que cheirinho maravilhoso! Sabe o que é?;1,038059884;53610;3182;255;10;0,059354598;0,080138278;0,003142678;5;2021;202105;Perfumaria;Lucro Extra;Desc Consumidor;202105_17_COM_PERF_ALAVANC_PERF_N_PROD
Que cheirinho maravilhoso! Sabe o que é?;0,839718481;106476;1319;101;8;0,012387768;0,076573161;0,006065201;5;2021;202105;Perfumaria;Lucro Extra;Desc Consumidor;202105_17_COM_PERF_ALAVANC_PERF_PROD_POTEN_VIP
Suas vendas no modo ativo com Botik!;1,033346343;173492;13711;473;25;0,079029581;0,034497848;0,001823354;5;2021;202105;Cuidados;Lucro Extra;Desc Consumidor;202105_19_COM_CUID_FACIAIS_COMP_BOTIK20_N_COMP21
Suas vendas no modo ativo com Botik!;1,108950263;179173;19791;744;22;0,110457491;0,037592845;0,001111616;5;2021;202105;Cuidados;Lucro Extra;Desc Consumidor;202105_19_COM_CUID_FACIAIS_COMP_TRAT_FACIAL_ENGJ60
Quem ama vender make e ama lucrar? 👇;0,997030943;113546;8717;151;12;0,076770648;0,017322473;0,00137662;5;2021;202105;Maquiagem;Lucro Extra;30% Lucro Total;202105_20_COM_MAKE_COMP_MAKE_DATA_MAES_ENGJ90
Quem ama vender make e ama lucrar? 👇;0,986964725;466550;33325;744;63;0,071428571;0,022325581;0,001890473;5;2021;202105;Maquiagem;Lucro Extra;30% Lucro Total;202105_20_COM_MAKE_ROLLOUT_EAM_ENG180
Quasar está com 25% de lucro no App!;0,822678784;34748;716;38;5;0,020605502;0,053072626;0,00698324;5;2021;202105;Perfumaria;App;25% Lucro Total;202105_21_COM_APP_LE_N_USER_APP_ENGJ180
Quasar está com 25% de lucro no App!;1,113193637;80427;7682;376;10;0,095515188;0,048945587;0,001301744;5;2021;202105;Perfumaria;App;25% Lucro Total;202105_21_COM_APP_LE_N_USER_APP_ENGJ30
Quasar está com 25% de lucro no App!;1,049839491;357792;26514;1072;42;0,074104508;0,04043147;0,001584069;5;2021;202105;Perfumaria;App;25% Lucro Total;202105_21_COM_APP_LE_USER_APP_ABRE_15DIAS
Quasar está com 25% de lucro no App!;0,953682995;300234;14619;584;51;0,04869202;0,039948013;0,003488611;5;2021;202105;Perfumaria;App;25% Lucro Total;202105_21_COM_APP_LE_USER_APP_N_ABRE_15DIAS
Não é mentira: 40% DE LUCRO TOTAL EM LINDA;0,672491873;37770;1197;1;1;0,031691819;0,000835422;0,000835422;5;2021;202105;Perfumaria;Lucro Extra;+35% Lucro Total;202105_22_COM_RLMPG_LINDA_ALAVANC_BE25_LINDA
Não é mentira: 40% DE LUCRO TOTAL EM LINDA;1,345945212;46478;15068;889;7;0,324196394;0,058999204;0,000464561;5;2021;202105;Perfumaria;Lucro Extra;+35% Lucro Total;202105_22_COM_RLMPG_LINDA_EINSTEIN_LOYALISTS
Não é mentira: 40% DE LUCRO TOTAL EM LINDA;1,008648397;626766;40509;1615;93;0,064631776;0,039867684;0,002295786;5;2021;202105;Perfumaria;Lucro Extra;+35% Lucro Total;202105_22_COM_RLMPG_LINDA_EINSTEIN_WIND_SHOP
⚡ A Promo Relâmpago é vapt vupt! Corra e aproveite! 🏃;1,172943265;56797;5373;351;5;0,094600067;0,065326633;0,000930579;5;2021;202105;Perfumaria;Lucro Extra;+35% Lucro Total;202105_23_COM_RLMPG_ARBO_ALAVANC_BE25_ARBO
